software_name,purl,purl_type,purl_namespace,purl_name,match_confidence,status,registry_url,last_verified_date,deprecated_at,deprecated_reason,product_id,purl_coverage_flag,data_quality_notes
Cloudflare Zero Trust,,,,,,not_found,,2026-05-10,,,cloudflare-zero-trust,,
Cloudian HyperStore 8.0,,,,,,not_found,,2026-05-10,,,,,
CockroachDB Encryption,pkg:github/cockroachdb/cockroach,github,cockroachdb,cockroach,exact,matched,https://github.com/cockroachdb/cockroach,2026-05-10,,,cockroachdb-encryption,,
Codegic Khatim PKI Server,,,,,,not_found,,2026-05-10,,,codegic-khatim-pki-server,,
Codegic Khatim Sign Server,,,,,,not_found,,2026-05-10,,,codegic-khatim-sign-server,,
Cohesity DataCloud,,,,,,not_found,,2026-05-10,,,cohesity-datacloud,,
Coinbase Custody,,,,,,not_found,,2026-05-10,,,coinbase-custody,,
Commvault Cloud,,,,,,not_found,,2026-05-10,,,commvault-cloud,,
Confluent Cloud Kafka PQC,,,,,,not_found,,2026-05-10,,,confluent-cloud-kafka-pqc,,
Copper.co,,,,,,not_found,,2026-05-10,,,copper-co,,
coreboot,pkg:github/coreboot/coreboot,github,coreboot,coreboot,exact,matched,https://github.com/coreboot/coreboot,2026-05-10,,,coreboot,,
CoreDNS PQC DNSSEC,,,,,,not_found,,2026-05-10,,,coredns-pqc-dnssec,,
Cosmian covercrypt,pkg:github/Cosmian/cover_crypt,github,Cosmian,cover_crypt,exact,matched,https://github.com/Cosmian/cover_crypt,2026-05-10,,,cosmian-covercrypt,,
Cosmian KMS,pkg:github/Cosmian/kms,github,Cosmian,kms,exact,matched,https://github.com/Cosmian/kms,2026-05-10,,,cosmian-kms,,
Cosmos/Tendermint,pkg:github/cosmos/cosmos-sdk,github,cosmos,cosmos-sdk,exact,matched,https://github.com/cosmos/cosmos-sdk,2026-05-10,,,cosmos-tendermint,,
Cranium AI Security Platform,,,,,,not_found,,2026-05-10,,,cranium-ai-security-platform,,
CREDEBL,,,,,,not_found,,2026-05-10,,,credebl,,
CrowdStrike Falcon,,,,,,not_found,,2026-05-10,,,crowdstrike-falcon,,
Crucible,pkg:github/symbolicsoft/crucible,github,symbolicsoft,crucible,exact,matched,https://github.com/symbolicsoft/crucible,2026-05-10,,,crucible,,
Crypto Quantique QDID Platform,,,,,,not_found,,2026-05-10,,,crypto-quantique-qdid-platform,,
Crypto++ (cryptopp),pkg:github/weidai11/cryptopp,github,weidai11,cryptopp,exact,matched,https://github.com/weidai11/cryptopp,2026-05-10,,,crypto-cryptopp,,
Crypto4A QxEDGE,,,,,,not_found,,2026-05-10,,,crypto4a-qxedge,,
Crypto4A QxHSM,,,,,,not_found,,2026-05-10,,,crypto4a-qxhsm,,
Crypto4A QxVault,,,,,,not_found,,2026-05-10,,,crypto4a-qxvault,,
