software_name,purl,purl_type,purl_namespace,purl_name,match_confidence,status,registry_url,last_verified_date,deprecated_at,deprecated_reason,product_id,purl_coverage_flag,data_quality_notes
Crypto++ (cryptopp),pkg:github/weidai11/cryptopp,github,weidai11,cryptopp,exact,matched,https://github.com/weidai11/cryptopp,2026-05-10,,,,,
Crypto4A QxEDGE,,,,,,not_found,,2026-05-10,,,,,
Crypto4A QxHSM,,,,,,not_found,,2026-05-10,,,,,
Crypto4A QxVault,,,,,,not_found,,2026-05-10,,,,,
Cryptomathic CKMS,,,,,,not_found,,2026-05-10,,,,,
Cryptomathic CrystalKey 360,,,,,,not_found,,2026-05-10,,,,,
CryptoNext COMPASS Network Probe,,,,,,not_found,,2026-05-10,,,,,
CryptoNext COMPASS Probe,,,,,,not_found,,2026-05-10,,,,,
CryptoNext Quantum-Safe Library,,,,,,not_found,,2026-05-10,,,,,
Cryptosense Analyzer,,,,,,not_found,,2026-05-10,,,,,
CryptPad PQC Collaboration,,,,,,not_found,,2026-05-10,,,,,
CRYSTALS Reference Implementations,,,,,,not_found,,2026-05-10,,,,,
curl PQC,,,,,,not_found,,2026-05-10,,,,,
CyberArk Conjur,,,,,,not_found,,2026-05-10,,,,,
Cyberint (Check Point),,,,,,not_found,,2026-05-10,,,,,
Cybernetica PQC Estonia,,,,,,not_found,,2026-05-10,,,,,
CyberZero Quantanaut,,,,,,not_found,,2026-05-10,,,,,
CZERTAINLY,,,,,,not_found,,2026-05-10,,,,,
CZQCI Czech Quantum Infrastructure,,,,,,not_found,,2026-05-10,,,,,
Dashlane,,,,,,not_found,,2026-05-10,,,,,
Debian 12 (Bookworm),,,,,,not_found,,2026-05-10,,,,,
Delinea Secret Server,,,,,,not_found,,2026-05-10,,,,,
Dell BSAFE Crypto Module for C,,,,,,not_found,,2026-05-10,,,,,
Dell BSAFE Crypto-J,,,,,,not_found,,2026-05-10,,,,,
Dell PowerStore OS 4.0,,,,,,not_found,,2026-05-10,,,,,
Descope,,,,,,not_found,,2026-05-10,,,,,
Descope Customer & Agentic Identity Platform,,,,,,not_found,,2026-05-10,,,,,
DFNS,,,,,,not_found,,2026-05-10,,,,,
DigiCert CertCentral,,,,,,not_found,,2026-05-10,,,,,
DigiCert Code-Signing (v2026),,,,,,not_found,,2026-05-10,,,,,
DigiCert Device Trust Manager,,,,,,not_found,,2026-05-10,,,,,
DigiCert ONE,,,,,,not_found,,2026-05-10,,,,,
DigiCert SigningHub,,,,,,not_found,,2026-05-10,,,,,
DigiCert Software Trust Manager,,,,,,not_found,,2026-05-10,,,,,
DigiCert Trust Lifecycle Manager,,,,,,not_found,,2026-05-10,,,,,
DigiCert TrustCore SDK,,,,,,not_found,,2026-05-10,,,,,
Docker Engine 28.0,,,,,,not_found,,2026-05-10,,,,,
DocuSign,,,,,,not_found,,2026-05-10,,,,,
DocuSign Intelligent Agreement Management (eSignature + CLM),,,,,,not_found,,2026-05-10,,,,,
Dogtag Certificate System,,,,,,not_found,,2026-05-10,,,,,
Dragos Platform,,,,,,not_found,,2026-05-10,,,,,
Druva Data Resiliency Cloud,,,,,,not_found,,2026-05-10,,,,,
DuckDuckGo Browser,,,,,,not_found,,2026-05-10,,,,,
Dyber QuantaTPM,,,,,,not_found,,2026-05-10,,,,,
E& Nokia Quantum-Safe Network,,,,,,not_found,,2026-05-10,,,,,
Eclipse Jetty,pkg:github/jetty/jetty.project,github,jetty,jetty.project,exact,matched,https://github.com/jetty/jetty.project,2026-05-10,,,,,
Egnyte Governance,,,,,,not_found,,2026-05-10,,,,,
EJBCA,pkg:github/Keyfactor/ejbca-ce,github,Keyfactor,ejbca-ce,exact,matched,https://github.com/Keyfactor/ejbca-ce,2026-05-10,,,,,
Elastic Stack (ELK),,,,,,not_found,,2026-05-10,,,,,
Element (Matrix Protocol),,,,,,not_found,,2026-05-10,,,,,
Enquantum PQC Accelerator,,,,,,not_found,,2026-05-10,,,,,
Entrust Cryptographic Platform,,,,,,not_found,,2026-05-10,,,,,
Entrust Cryptographic Security Platform,,,,,,not_found,,2026-05-10,,,,,
Entrust Identity as a Service (IDaaS),,,,,,not_found,,2026-05-10,,,,,
Entrust KeyControl,,,,,,not_found,,2026-05-10,,,,,
Entrust nShield,,,,,,not_found,,2026-05-10,,,,,
Entrust PKI,,,,,,not_found,,2026-05-10,,,,,
Entrust Signing Automation,,,,,,not_found,,2026-05-10,,,,,
Envoy Proxy,pkg:github/envoyproxy/envoy,github,envoyproxy,envoy,exact,matched,https://github.com/envoyproxy/envoy,2026-05-10,,,,,
Ericsson Quantum-Safe 5G,,,,,,not_found,,2026-05-10,,,,,
ESCRYPT Automotive PQC Solutions,,,,,,not_found,,2026-05-10,,,,,
essendi xc,,,,,,not_found,,2026-05-10,,,,,
Ethereum (Geth),pkg:github/ethereum/go-ethereum,github,ethereum,go-ethereum,exact,matched,https://github.com/ethereum/go-ethereum,2026-05-10,,,,,
ETSI TS 104 105 Hybrid PQC Standard,,,,,,not_found,,2026-05-10,,,,,
EU PQC Implementation Roadmap,,,,,,not_found,,2026-05-10,,,,,
EUDI Reference Wallet,pkg:github/eu-digital-identity-wallet/eudi-app-android-wallet-ui,github,eu-digital-identity-wallet,eudi-app-android-wallet-ui,exact,matched,https://github.com/eu-digital-identity-wallet/eudi-app-android-wallet-ui,2026-05-10,,,,,
EVERTRUST HORIZON,,,,,,not_found,,2026-05-10,,,,,
EVERTRUST STREAM,,,,,,not_found,,2026-05-10,,,,,
Eviden IDnomic PKI,,,,,,not_found,,2026-05-10,,,,,
Eviden PQC HSMaaS,,,,,,not_found,,2026-05-10,,,,,
Eviden Trustway Proteccio NetHSM,,,,,,not_found,,2026-05-10,,,,,
evolutionQ BasejumpQDN,,,,,,not_found,,2026-05-10,,,,,
evolutionQ BasejumpSKI,,,,,,not_found,,2026-05-10,,,,,
ExeQuantum,,,,,,not_found,,2026-05-10,,,,,
ExpressVPN Lightway,,,,,,not_found,,2026-05-10,,,,,
F5 ADSP PQC,,,,,,not_found,,2026-05-10,,,,,
F5 BIG-IP,,,,,,not_found,,2026-05-10,,,,,
Fastly Edge Cloud,,,,,,not_found,,2026-05-10,,,,,
Fastly PQC CDN,,,,,,not_found,,2026-05-10,,,,,
Fedora Linux,,,,,,not_found,,2026-05-10,,,,,
FENASBAC Pix PQC Research,,,,,,not_found,,2026-05-10,,,,,
FileVault (macOS),,,,,,not_found,,2026-05-10,,,,,
Fireblocks,pkg:github/fireblocks/mpc-lib,github,fireblocks,mpc-lib,exact,matched,https://github.com/fireblocks/mpc-lib,2026-05-10,,,,,
FIS Modern Banking,,,,,,not_found,,2026-05-10,,,,,
Forcepoint DLP,,,,,,not_found,,2026-05-10,,,,,
ForgeRock Identity Cloud,,,,,,not_found,,2026-05-10,,,,,
Fortanix Data Security Manager,,,,,,not_found,,2026-05-10,,,,,
Fortanix PQC Central,,,,,,not_found,,2026-05-10,,,,,
Fortinet FortiAuthenticator,,,,,,not_found,,2026-05-10,,,,,
Fortinet FortiGate (FortiOS),,,,,,not_found,,2026-05-10,,,,,
Fortinet FortiGate-Rugged,,,,,,not_found,,2026-05-10,,,,,
Fortinet FortiManager,,,,,,not_found,,2026-05-10,,,,,
Fortinet FortiOS,,,,,,not_found,,2026-05-10,,,,,
Fortinet FortiWeb,,,,,,not_found,,2026-05-10,,,,,
Forward Edge-AI Isidore Quantum,,,,,,not_found,,2026-05-10,,,,,
Forward Edge-AI Space Router,,,,,,not_found,,2026-05-10,,,,,
FreeBSD,pkg:github/freebsd/freebsd-src,github,freebsd,freebsd-src,exact,matched,https://github.com/freebsd/freebsd-src,2026-05-10,,,,,
FreeRTOS,pkg:github/FreeRTOS/FreeRTOS,github,FreeRTOS,FreeRTOS,exact,matched,https://github.com/FreeRTOS/FreeRTOS,2026-05-10,,,,,
Fujitsu PQC Networks,,,,,,not_found,,2026-05-10,,,,,
FusionAuth,pkg:github/FusionAuth/fusionauth-issues,github,FusionAuth,fusionauth-issues,exact,matched,https://github.com/FusionAuth/fusionauth-issues,2026-05-10,,,,,
Futurex Cloud,,,,,,not_found,,2026-05-10,,,,,
Futurex CryptoHub,,,,,,not_found,,2026-05-10,,,,,
Futurex Vectera Plus,,,,,,not_found,,2026-05-10,,,,,
G+D Quantum-Safe SIM Platform,,,,,,not_found,,2026-05-10,,,,,
Galileo AI Observability and Eval Platform,,,,,,not_found,,2026-05-10,,,,,
Galileo FT,,,,,,not_found,,2026-05-10,,,,,
Garantir GaraTrust,,,,,,not_found,,2026-05-10,,,,,
General Dynamics Mission,,,,,,not_found,,2026-05-10,,,,,
Genua Quantum-Resistant VPN,,,,,,not_found,,2026-05-10,,,,,
Giesecke+Devrient PQC ID Card,,,,,,not_found,,2026-05-10,,,,,
GitHub Actions,,,,,,not_found,,2026-05-10,,,,,
GitHub Copilot Security,,,,,,not_found,,2026-05-10,,,,,
GitHub SSH PQC,,,,,,not_found,,2026-05-10,,,,,
GitLab CI/CD,,,,,,not_found,,2026-05-10,,,,,
GlobalSign Atlas CLM,,,,,,not_found,,2026-05-10,,,,,
GlobalSign Digital Signing Service,,,,,,not_found,,2026-05-10,,,,,
GlobalSign Support (Atlas),,,,,,not_found,,2026-05-10,,,,,
Gmail / Google Workspace,,,,,,not_found,,2026-05-10,,,,,
GnuPG,pkg:github/gpg/gnupg,github,gpg,gnupg,exact,matched,https://github.com/gpg/gnupg,2026-05-10,,,,,
GnuTLS,pkg:github/gnutls/gnutls,github,gnutls,gnutls,manual,matched,https://gitlab.com/gnutls/gnutls,2026-05-10,,,,,
Go stdlib crypto/mlkem,pkg:go/golang.org/x/crypto,go,golang.org/x,crypto,manual,matched,https://pkg.go.dev/golang.org/x/crypto,2026-05-10,,,,,
go-jose v4,pkg:github/go-jose/go-jose,github,go-jose,go-jose,exact,matched,https://github.com/go-jose/go-jose,2026-05-10,,,,,
Google ALTS,,,,,,not_found,,2026-05-10,,,,,
Google Chrome,,,,,,not_found,,2026-05-10,,,,,
Google Cloud CDN,,,,,,not_found,,2026-05-10,,,,,
Google Cloud HSM,,,,,,not_found,,2026-05-10,,,,,
Google Cloud KMS,,,,,,not_found,,2026-05-10,,,,,
Google Cloud KMS (Cloud Gateway),,,,,,not_found,,2026-05-10,,,,,
Google Cloud Platform (GCP),,,,,,not_found,,2026-05-10,,,,,
Google GKE,,,,,,not_found,,2026-05-10,,,,,
Google OpenTitan,pkg:github/lowRISC/opentitan,github,lowRISC,opentitan,exact,matched,https://github.com/lowRISC/opentitan,2026-05-10,,,,,
Google Tink,pkg:github/tink-crypto/tink-java,github,tink-crypto,tink-java,exact,matched,https://github.com/tink-crypto/tink-java,2026-05-10,,,,,
Google Workspace Identity,,,,,,not_found,,2026-05-10,,,,,
GPG Code Signing,pkg:github/gpg/gnupg,github,gpg,gnupg,exact,matched,https://github.com/gpg/gnupg,2026-05-10,,,,,
GSMA PQ Telco Task Force,,,,,,not_found,,2026-05-10,,,,,
HAETAE Reference Implementation,pkg:github/kpqc-cryptocon/HAETAE,github,kpqc-cryptocon,HAETAE,exact,matched,https://github.com/kpqc-cryptocon/HAETAE,2026-05-10,,,,,
HAProxy,pkg:github/haproxy/haproxy,github,haproxy,haproxy,exact,matched,https://github.com/haproxy/haproxy,2026-05-10,,,,,
hash-sigs,pkg:github/cisco/hash-sigs,github,cisco,hash-sigs,exact,matched,https://github.com/cisco/hash-sigs,2026-05-10,,,,,
HashiCorp Boundary,pkg:github/hashicorp/boundary,github,hashicorp,boundary,exact,matched,https://github.com/hashicorp/boundary,2026-05-10,,,,,
HashiCorp Consul Connect (Service Mesh),pkg:github/hashicorp/consul,github,hashicorp,consul,exact,matched,https://github.com/hashicorp/consul,2026-05-10,,,,,
HashiCorp Terraform / HCP,,,,,,not_found,,2026-05-10,,,,,
HashiCorp Vault,pkg:github/hashicorp/vault,github,hashicorp,vault,exact,matched,https://github.com/hashicorp/vault,2026-05-10,,,,,
HashiCorp Vault Transit,pkg:github/hashicorp/vault,github,hashicorp,vault,exact,matched,https://github.com/hashicorp/vault,2026-05-10,,,,,
hbs-lms,pkg:github/world-of-crytek/hbs-lms,github,world-of-crytek,hbs-lms,exact,matched,https://github.com/world-of-crytek/hbs-lms,2026-05-10,,,,,
Hex Trust,,,,,,not_found,,2026-05-10,,,,,
Hex Trust Institutional Custody,,,,,,not_found,,2026-05-10,,,,,
