concept_id,display_label,source_type,source_table,source_row_id,primary_url,status,deprecated_at,deprecated_reason
standard:meta-pqc-migration-2026,Meta-PQC-Migration-2026,standard,library,Meta-PQC-Migration-2026,https://engineering.fb.com/2026/04/16/security/post-quantum-cryptography-migration-at-meta-framework-lessons-and-takeaways/,active,,
standard:microchip-ts1800-pqc-rootoftrust-2026,Microchip-TS1800-PQC-RootOfTrust-2026,standard,library,Microchip-TS1800-PQC-RootOfTrust-2026,https://embeddedcomputing.com/technology/processing/compute-modules/microchip-expands-family-of-post-quantum-ready-root-of-trust-controllers,active,,
standard:microsoft-pqc-research,Microsoft-PQC-Research,standard,library,Microsoft-PQC-Research,https://www.microsoft.com/en-us/research/project/post-quantum-cryptography/,active,,
standard:nist-cmvp-mip-list,NIST-CMVP-MIP-List,standard,library,NIST-CMVP-MIP-List,https://csrc.nist.gov/projects/cryptographic-module-validation-program/modules-in-process/modules-in-process-list,active,,
standard:nist-fips140-3-ig-pqc,NIST-FIPS140-3-IG-PQC,standard,library,NIST-FIPS140-3-IG-PQC,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,active,,
standard:nist-ir-8413,NIST IR 8413,standard,library,NIST IR 8413,https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413-upd1.pdf,active,,
standard:nist-ir-8528,NIST-IR-8528,standard,library,NIST-IR-8528,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8528.pdf,active,,
standard:nist-ir-8545,NIST IR 8545,standard,library,NIST IR 8545,https://nvlpubs.nist.gov/nistpubs/ir/2025/NIST.IR.8545.pdf,active,,
standard:nist-ir-8547,NIST IR 8547,standard,library,NIST IR 8547,https://csrc.nist.gov/pubs/ir/8547/ipd,active,,
standard:nist-nccoe-sp-1800-38a,NIST NCCoE SP 1800-38A,standard,library,NIST NCCoE SP 1800-38A,https://www.nccoe.nist.gov/sites/default/files/2023-04/pqc-migration-nist-sp-1800-38a-preliminary-draft.pdf,active,,
standard:nist-nccoe-sp-1800-38b,NIST NCCoE SP 1800-38B,standard,library,NIST NCCoE SP 1800-38B,https://www.nccoe.nist.gov/sites/default/files/2023-12/pqc-migration-nist-sp-1800-38b-preliminary-draft.pdf,active,,
