software_name,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link,deprecated_at,deprecated_reason,product_id,pqc_cert_flag,cert_link_quality,data_quality_notes,date_stamp
Amazon Web Services (AWS),FIPS 140-3,5310,Amazon Web Services,AWS Nitro Card Security Engine SSMAE,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-06-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5310,2026-06-06,not in regen,,,,,
Android 16,ACVP,A7700,"Google, Inc.",BoringCrypto,"ML-DSA, ML-KEM, SLH-DSA",,deprecated,2025-11-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20486,2026-06-06,not in regen,,,,,
Android 16,ACVP,A8355,"Google, LLC",Trusty TEE,"ML-DSA, ML-KEM, SLH-DSA",,deprecated,2026-05-19,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=21185,2026-06-06,not in regen,,,,,
Android 16,FIPS 140-3,4726,"Google, LLC.",Android Kernel Cryptographic Module,No PQC Mechanisms Detected,FIPS 140-3 L1,Active,2024-07-12,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4726,,,,,,,
Android 16,FIPS 140-3,4799,"Google, LLC",Look-aside Cryptography and Compression Engine (LCE),No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2024-09-13,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4799,2026-06-06,not in regen,,,,,
Android 16,FIPS 140-3,5087,"Google, LLC.",OpenSK Cryptographic Module,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2025-10-23,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5087,2026-06-06,not in regen,,,,,
Android 16,FIPS 140-3,5104,"Google, LLC",BoringCrypto,No PQC Mechanisms Detected,FIPS 140-3 L3,deprecated,2025-12-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5104,2026-05-10,not in regen,android-16,no_pqc_cert_classical_only,url_authoritative,CMVP #5104: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
Android 16,FIPS 140-3,5165,"Google, LLC.",River Redux Cryptographic Module,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-03-18,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5165,2026-06-06,not in regen,,,,,
Android 16,FIPS 140-3,5244,"Google, LLC",BoringCrypto,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-04-18,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5244,2026-06-04,not in regen,,,,,
Android 16,FIPS 140-3,5296,"Google, LLC",BoringCrypto,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2026-06-02,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5296,2026-06-06,not in regen,,,,,
